Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
114,0.0,3.09,0.08,1,1.0,2.082
115,0.0,3.09,0.08,1,1.0,2.073
116,0.0,3.09,0.08,1,1.0,2.064
117,0.0,3.09,0.08,1,1.0,2.055
118,0.0,3.09,0.08,1,1.0,2.046
119,0.0,3.09,0.08,1,1.0,2.037
120,0.0,3.09,0.08,1,1.0,2.029
121,0.0,3.09,0.08,1,1.0,2.021
122,0.0,3.09,0.08,1,1.0,2.012
123,0.0,3.09,0.08,1,1.0,2.004
124,0.0,3.09,0.08,1,1.0,1.996
125,0.0,3.09,0.08,1,1.0,1.988
126,0.0,3.09,0.08,1,1.0,1.98
127,0.0,3.09,0.08,1,1.0,1.972
128,0.0,3.09,0.08,1,1.0,1.965
129,0.0,3.09,0.08,1,1.0,1.957
130,0.0,3.09,0.08,1,1.0,1.949
131,0.0,3.09,0.08,1,1.0,1.942
132,0.0,3.09,0.08,1,1.0,1.935
133,0.0,3.09,0.08,1,1.0,1.927
134,0.0,3.09,0.08,1,1.0,1.92
135,0.0,3.09,0.08,1,1.0,1.913
136,0.0,3.09,0.08,1,1.0,1.906
137,0.0,3.09,0.08,1,1.0,1.899
138,0.0,3.09,0.08,1,1.0,1.892
139,0.0,3.09,0.08,1,1.0,1.885
140,0.0,3.09,0.08,1,1.0,1.878
141,0.0,3.09,0.08,1,1.0,1.872
142,0.0,3.09,0.08,1,1.0,1.865
143,0.0,3.09,0.08,1,1.0,1.859
144,0.0,3.09,0.08,1,1.0,1.852
145,0.0,3.09,0.08,1,1.0,1.846
146,0.0,3.09,0.08,1,1.0,1.839
147,0.0,3.09,0.08,1,1.0,1.833
148,0.0,3.09,0.08,1,1.0,1.827
149,0.0,3.09,0.08,1,1.0,1.821
150,0.0,3.09,0.08,1,1.0,1.815
151,0.0,3.09,0.08,1,1.0,1.809
152,0.0,3.09,0.08,1,1.0,1.803
153,0.0,3.09,0.08,1,1.0,1.797
154,0.0,3.09,0.08,1,1.0,1.791
155,0.0,3.09,0.08,1,1.0,1.785
156,0.0,3.09,0.08,1,1.0,1.78
157,0.0,3.09,0.08,1,1.0,1.774
158,0.0,3.09,0.08,1,1.0,1.768
159,0.0,3.09,0.08,1,1.0,1.763
160,0.0,3.09,0.08,1,1.0,1.757
161,0.0,3.09,0.08,1,1.0,1.752
162,0.0,3.09,0.08,1,1.0,1.746
163,0.0,3.09,0.08,1,1.0,1.741
164,0.0,3.09,0.08,1,1.0,1.736
165,0.0,3.09,0.08,1,1.0,1.73
166,0.0,3.09,0.08,1,1.0,1.725
167,0.0,3.09,0.08,1,1.0,1.72
168,0.0,3.09,0.08,1,1.0,1.715
169,0.0,3.09,0.08,1,1.0,1.71
170,0.0,3.09,0.08,1,1.0,1.705
171,0.0,3.09,0.08,1,1.0,1.7
172,0.0,3.09,0.08,1,1.0,1.695
173,0.0,3.09,0.08,1,1.0,1.69
174,0.0,3.09,0.08,1,1.0,1.685
175,0.0,3.09,0.08,1,1.0,1.68
176,0.0,3.09,0.08,1,1.0,1.675
177,0.0,3.09,0.08,1,1.0,1.671
178,0.0,3.09,0.08,1,1.0,1.666
179,0.0,3.09,0.08,1,1.0,1.661
180,0.0,3.09,0.08,1,0.9,1.657
181,0.0,3.09,0.08,1,0.9,1.652
182,0.0,3.09,0.08,1,0.9,1.648
183,0.0,3.09,0.08,1,0.9,1.643
184,0.0,3.09,0.08,1,0.9,1.639
185,0.0,3.09,0.08,1,0.9,1.634
186,0.0,3.09,0.08,1,0.9,1.63
187,0.0,3.09,0.08,1,0.9,1.625
188,0.0,3.09,0.08,1,0.9,1.621
189,0.0,3.09,0.08,1,0.9,1.617
190,0.0,3.09,0.08,1,0.9,1.612
191,0.0,3.09,0.08,1,0.9,1.608
192,0.0,3.09,0.08,1,0.9,1.604
193,0.0,3.09,0.08,1,0.9,1.6
194,0.0,3.09,0.08,1,0.9,1.596
195,0.0,3.09,0.08,1,0.9,1.592
196,0.0,3.09,0.08,1,0.9,1.588
197,0.0,3.09,0.08,1,0.9,1.584
198,0.0,3.09,0.08,1,0.9,1.58
199,0.0,3.09,0.08,1,0.9,1.576
200,0.0,3.09,0.08,1,0.9,1.572
201,0.0,3.09,0.08,1,0.9,1.568
202,0.0,3.09,0.08,1,0.9,1.564
203,0.0,3.09,0.08,1,0.9,1.56
204,0.0,3.09,0.08,1,0.9,1.556
205,0.0,3.09,0.08,1,0.9,1.552
206,0.0,3.09,0.08,1,0.9,1.549
207,0.0,3.09,0.08,1,0.9,1.545
208,0.0,3.09,0.08,1,0.9,1.541
209,0.0,3.09,0.08,1,0.9,1.537
210,0.0,3.09,0.08,1,0.9,1.534
211,0.0,3.09,0.08,1,0.9,1.53
212,0.0,3.09,0.08,1,0.9,1.526
213,0.0,3.09,0.08,1,0.9,1.523
214,0.0,3.09,0.08,1,0.9,1.519
215,0.0,3.09,0.08,1,0.9,1.516
216,0.0,3.09,0.08,1,0.9,1.512
217,0.0,3.09,0.08,1,0.9,1.509
218,0.0,3.09,0.08,1,0.9,1.505
219,0.0,3.09,0.08,1,0.9,1.502
220,0.0,3.09,0.08,1,0.9,1.498
221,0.0,3.09,0.08,1,0.9,1.495
222,0.0,3.09,0.08,1,0.9,1.492
223,0.0,3.09,0.08,1,0.9,1.488
224,0.0,3.09,0.08,1,0.9,1.485
225,0.0,3.09,0.08,1,0.9,1.482
226,0.0,3.09,0.08,1,0.9,1.478
227,0.0,3.09,0.08,1,0.9,1.475
228,0.0,3.09,0.08,1,0.9,1.472
229,0.0,3.09,0.08,1,0.9,1.469
230,0.0,3.09,0.08,1,0.9,1.466
231,0.0,3.09,0.08,1,0.9,1.462
232,0.0,3.09,0.08,1,0.9,1.459
233,0.0,3.09,0.08,1,0.9,1.456
234,0.0,3.09,0.08,1,0.9,1.453
235,0.0,3.09,0.08,1,0.9,1.45
236,0.0,3.09,0.08,1,0.9,1.447
237,0.0,3.09,0.08,1,0.9,1.444
238,0.0,3.09,0.08,1,0.9,1.441
239,0.0,3.09,0.08,1,0.9,1.438
240,0.0,3.09,0.08,1,0.9,1.435
241,0.0,3.09,0.08,1,0.9,1.432
242,0.0,3.09,0.08,1,0.9,1.429
243,0.0,3.09,0.08,1,0.9,1.426
244,0.0,3.09,0.08,1,0.9,1.423
245,0.0,3.09,0.08,1,0.9,1.42
246,0.0,3.09,0.08,1,0.9,1.417
247,0.0,3.09,0.08,1,0.9,1.414
248,0.0,3.09,0.08,1,0.91,1.411
249,0.0,3.09,0.08,1,0.91,1.409
250,0.0,3.09,0.08,1,0.91,1.406
251,0.0,3.09,0.08,1,0.91,1.403
252,0.0,3.09,0.08,1,0.91,1.4
253,0.0,3.09,0.08,1,0.91,1.397
254,0.0,3.09,0.08,1,0.91,1.395
255,0.0,3.09,0.08,1,0.91,1.392
256,0.0,3.09,0.08,1,0.91,1.389
