Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0,0.0,15.05,0,0,1.0,nan
1,0.0,15.05,0,0,1.0,0.0
2,0.0,15.05,0,0,1.0,0.0
3,0.0,15.05,0,0,1.0,0.0
4,0.0,15.05,0,0,1.0,0.0
5,0.0,15.05,0,0,1.0,0.0
6,0.0,15.05,0,0,1.0,0.0
7,0.0,15.05,0,0,1.0,0.0
8,0.0,15.05,0,0,1.0,0.0
9,0.0,15.05,0,0,1.0,0.0
10,0.0,15.05,0,0,1.0,0.0
11,0.0,15.05,0,0,1.0,0.0
12,0.0,15.05,0,0,1.0,0.0
13,0.0,15.05,0,0,1.0,0.0
14,0.0,15.05,0,0,1.0,0.0
15,0.0,15.05,0,0,1.0,0.0
16,0.0,15.05,0,0,1.0,0.0
17,0.0,15.05,0,0,1.0,0.0
18,0.0,15.05,0,0,1.0,0.0
19,0.0,15.38,0,0,1.0,0.0
20,0.0,15.38,0,0,1.0,0.0
21,0.0,15.38,0,0,1.0,0.0
22,0.0,15.38,0,0,1.0,0.0
23,0.0,15.38,0,0,1.0,0.0
24,0.0,15.38,0,0,1.0,0.0
25,0.0,15.38,0,0,1.0,0.0
26,0.0,15.38,0,0,1.0,0.0
27,0.0,15.38,0,0,1.0,0.0
28,0.0,15.38,0,0,1.0,0.0
29,0.0,15.38,0,0,1.0,0.0
30,0.0,15.38,0,0,1.0,0.0
31,0.0,15.38,0,0,1.0,0.0
32,0.0,15.38,0,0,1.0,0.0
33,0.0,15.38,0,0,1.0,0.0
34,0.0,15.38,0,0,1.0,0.0
35,0.0,15.38,0,0,1.0,0.0
36,0.0,15.51,0,0,1.0,0.0
37,0.0,15.51,0,0,1.0,0.0
38,0.0,15.51,0,0,1.0,0.0
39,0.0,15.51,0,0,1.0,0.0
40,0.0,15.51,0,0,1.0,0.0
41,0.0,15.51,0,0,1.0,0.0
42,0.0,15.51,0,0,1.0,0.0
43,0.0,15.51,0,0,1.0,0.0
44,0.0,15.51,0,0,1.0,0.0
45,0.0,15.51,0,0,1.0,0.0
46,0.0,15.51,0,0,1.0,0.0
47,0.0,15.51,0,0,1.0,0.0
48,0.0,15.51,0,0,1.0,0.0
49,0.0,15.51,0,0,1.0,0.0
50,0.0,15.51,0,0,1.0,0.0
51,0.0,15.51,0,0,1.0,0.0
52,0.0,15.59,0,0,1.0,0.0
53,0.0,15.59,0,0,1.0,0.0
54,0.0,15.59,0,0,1.0,0.0
55,0.0,15.59,0,0,1.0,0.0
56,0.0,15.59,0,0,1.0,0.0
57,0.0,15.59,0,0,1.0,0.0
58,0.0,15.59,0,0,1.0,0.0
59,0.0,15.59,0,0,1.0,0.0
60,0.0,15.59,0,0,1.0,0.0
61,0.0,15.59,0,0,1.0,0.0
62,0.0,15.59,0,0,1.0,0.0
63,0.0,15.59,0,0,1.0,0.0
64,0.0,15.59,0,0,1.0,0.0
65,0.0,15.59,0,0,1.0,0.0
66,0.0,15.59,0,0,1.0,0.0
67,0.0,15.59,0,0,1.0,0.0
68,0.0,15.59,0,0,1.0,0.0
69,0.0,15.64,0,0,1.0,0.0
70,0.0,15.64,0,0,1.0,0.0
71,0.0,15.64,0,0,1.0,0.0
72,0.0,15.64,0,0,1.0,0.0
73,0.0,15.64,0,0,1.0,0.0
74,0.0,15.64,0,0,1.0,0.0
75,0.0,15.64,0,0,1.0,0.0
76,0.0,15.64,0,0,1.0,0.0
77,0.0,15.64,0,0,1.0,0.0
78,0.0,15.64,0,0,1.0,0.0
79,0.0,15.64,0,0,1.0,0.0
80,0.0,15.64,0,0,1.0,0.0
81,0.0,15.64,0,0,1.0,0.0
82,0.0,15.64,0,0,1.0,0.0
83,0.0,15.64,0,0,1.0,0.0
84,0.0,15.64,0,0,1.0,0.0
85,0.0,15.64,0,0,1.0,0.0
86,0.0,15.64,0,0,1.0,0.0
87,0.0,15.64,0,0,1.0,0.051
88,0.0,15.64,0,0,1.0,0.114
89,0.0,15.65,0,0,1.0,0.138
90,0.0,15.65,0,0,1.0,0.149
91,0.0,15.65,0,0,1.0,0.153
92,0.0,15.65,0,0,1.0,0.153
93,0.0,15.65,0,0,1.0,0.167
94,0.0,15.65,0,0,1.0,0.172
95,0.0,15.65,0,0,1.0,0.173
96,0.0,15.65,0,0,1.0,0.172
97,0.0,15.65,0,0,1.0,0.179
98,0.0,15.65,0,0,1.0,0.182
99,0.0,15.65,0,0,1.0,0.181
100,0.0,15.65,0,0,1.0,0.191
101,0.0,15.65,0,0,1.0,0.195
102,0.0,15.65,0,0,1.0,0.195
103,0.0,15.65,0,0,1.0,0.194
104,0.0,15.65,0,0,1.0,0.2
105,0.0,15.65,0,0,1.0,0.202
106,0.0,15.65,0,0,1.0,0.201
107,0.0,15.65,0,0,1.0,0.199
108,0.0,15.65,0,0,1.0,0.202
109,0.0,15.59,0,0,1.0,0.203
110,0.0,15.59,0,0,1.0,0.201
111,0.0,15.59,0,0,1.0,0.2
112,0.0,15.59,0,0,1.0,0.203
113,0.0,15.59,0,0,1.0,0.203
114,0.0,15.59,0,0,1.0,0.202
115,0.0,15.59,0,0,1.0,0.201
116,0.0,15.59,0,0,1.0,0.199
117,0.0,15.59,0,0,1.0,0.198
118,0.0,15.59,0,0,1.0,0.197
119,0.0,15.59,0,0,1.0,0.195
120,0.0,15.59,0,0,1.0,0.194
121,0.0,15.59,0,0,1.0,0.192
122,0.0,15.59,0,0,1.0,0.191
123,0.0,15.59,0,0,1.0,0.19
124,0.0,15.59,0,0,1.0,0.188
125,0.0,15.59,0,0,1.0,0.187
126,0.0,15.59,0,0,1.0,0.186
127,0.0,15.59,0,0,1.0,0.185
128,0.0,15.59,0,0,1.0,0.183
129,0.0,15.59,0,0,1.0,0.182
130,0.0,15.52,0,0,1.0,0.185
131,0.0,15.52,0,0,1.0,0.185
132,0.0,15.52,0,0,1.0,0.184
133,0.0,15.52,0,0,1.0,0.188
134,0.0,15.52,0,0,1.0,0.189
135,0.0,15.52,0,0,1.0,0.189
136,0.0,15.52,0,0,1.0,0.195
137,0.0,15.52,0,0,1.0,0.197
138,0.0,15.52,0,0,1.0,0.197
139,0.0,15.52,0,0,1.0,0.196
140,0.0,15.52,0,0,1.0,0.199
141,0.0,15.52,0,0,1.0,0.2
142,0.0,15.52,0,0,1.0,0.199
143,0.0,15.52,0,0,1.0,0.198
144,0.0,15.52,0,0,1.0,0.2
145,0.0,15.52,0,0,1.0,0.2
146,0.0,15.52,0,0,1.0,0.199
147,0.0,15.52,0,0,1.0,0.198
148,0.0,15.52,0,0,1.0,0.2
149,0.0,15.52,0,0,1.0,0.2
150,0.0,15.52,0,0,1.0,0.199
151,0.0,15.52,0,0,1.0,0.197
152,0.0,15.52,0,0,1.0,0.196
153,0.0,15.47,0,0,1.0,0.195
154,0.0,15.47,0,0,1.0,0.194
155,0.0,15.47,0,0,1.0,0.193
156,0.0,15.47,0,0,1.0,0.192
157,0.0,15.47,0,0,1.0,0.191
158,0.0,15.47,0,0,1.0,0.19
159,0.0,15.47,0,0,1.0,0.189
160,0.0,15.47,0,0,1.0,0.188
161,0.0,15.47,0,0,1.0,0.187
162,0.0,15.47,0,0,1.0,0.186
163,0.0,15.47,0,0,0.99,0.185
164,0.0,15.47,0,0,0.99,0.184
165,0.0,15.47,0,0,0.99,0.183
166,0.0,15.47,0,0,0.99,0.183
167,0.0,15.47,0,0,0.99,0.182
168,0.0,15.47,0,0,0.99,0.181
169,0.0,15.47,0,0,0.99,0.18
170,0.0,15.47,0,0,0.99,0.179
171,0.0,15.47,0,0,0.99,0.178
172,0.0,15.47,0,0,0.99,0.177
173,0.0,15.47,0,0,0.99,0.176
174,0.0,15.47,0,0,0.99,0.175
175,0.0,15.47,0,0,0.99,0.174
176,0.0,15.47,0,0,0.99,0.173
177,0.0,15.47,0,0,0.99,0.173
178,0.0,15.47,0,0,0.99,0.172
179,0.0,15.47,0,0,0.99,0.171
180,0.0,15.47,0,0,0.99,0.17
181,0.0,15.47,0,0,0.99,0.169
182,0.0,16.0,0,0,0.99,0.168
183,0.0,16.0,0,0,0.99,0.167
184,0.0,16.0,0,0,0.99,0.167
185,0.0,16.0,0,0,0.99,0.166
186,0.0,16.0,0,0,0.99,0.165
187,0.0,16.0,0,0,0.99,0.164
188,0.0,16.0,0,0,0.99,0.163
189,0.0,16.0,0,0,0.99,0.162
190,0.0,16.0,0,0,0.99,0.162
191,0.0,16.0,0,0,0.99,0.161
192,0.0,16.0,0,0,0.99,0.16
193,0.0,16.0,0,0,0.99,0.159
194,0.0,16.0,0,0,0.99,0.159
195,0.0,16.0,0,0,0.99,0.158
196,0.0,16.0,0,0,0.99,0.157
197,0.0,16.0,0,0,0.99,0.156
198,0.0,16.0,0,0,0.99,0.156
199,0.0,16.0,0,0,0.99,0.155
200,0.0,16.0,0,0,0.99,0.154
201,0.0,16.0,0,0,0.99,0.154
202,0.0,16.0,0,0,0.99,0.153
203,0.0,16.0,0,0,0.99,0.152
204,0.0,16.42,0,0,0.99,0.152
205,0.0,16.42,0,0,0.99,0.151
206,0.0,16.42,0,0,0.99,0.15
207,0.0,16.42,0,0,0.99,0.15
208,0.0,16.42,0,0,0.99,0.149
209,0.0,16.42,0,0,0.99,0.148
210,0.0,16.42,0,0,0.99,0.148
211,0.0,16.42,0,0,0.99,0.149
212,0.0,16.42,0,0,0.99,0.157
213,0.0,16.42,0,0,0.99,0.161
214,0.0,16.42,0,0,0.99,0.163
215,0.0,16.42,0,0,0.99,0.163
216,0.0,16.42,0,0,0.99,0.163
217,0.0,16.42,0,0,0.99,0.166
218,0.0,16.42,0,0,0.99,0.167
219,0.0,16.42,0,0,0.99,0.166
220,0.0,16.42,0,0,0.99,0.166
221,0.0,16.42,0,0,0.99,0.167
222,0.0,16.42,0,0,0.99,0.168
223,0.0,16.42,0,0,0.99,0.167
224,0.0,16.42,0,0,0.99,0.17
225,0.0,16.42,0,0,0.99,0.17
226,0.0,16.76,0,0,0.99,0.17
227,0.0,16.76,0,0,0.99,0.17
228,0.0,16.76,0,0,0.99,0.171
229,0.0,16.76,0,0,0.99,0.171
230,0.0,16.76,0,0,0.99,0.171
231,0.0,16.76,0,0,0.99,0.17
232,0.0,16.76,0,0,0.99,0.171
233,0.0,16.76,0,0,0.99,0.171
234,0.0,16.76,0,0,0.99,0.17
235,0.0,16.76,0,0,0.99,0.169
236,0.0,16.76,0,0,0.99,0.169
237,0.0,16.76,0,0,0.99,0.168
238,0.0,16.76,0,0,0.99,0.168
239,0.0,16.76,0,0,0.99,0.167
240,0.0,16.76,0,0,0.99,0.166
241,0.0,16.76,0,0,0.99,0.166
242,0.0,16.76,0,0,0.99,0.165
243,0.0,16.76,0,0,0.99,0.165
244,0.0,16.76,0,0,0.99,0.164
245,0.0,16.76,0,0,0.99,0.163
246,0.0,16.76,0,0,0.99,0.163
247,0.0,16.76,0,0,0.99,0.162
248,0.0,17.05,0,0,0.99,0.162
249,0.0,17.05,0,0,0.99,0.161
250,0.0,17.05,0,0,0.99,0.161
251,0.0,17.05,0,0,0.99,0.16
252,0.0,17.05,0,0,0.99,0.16
253,0.0,17.05,0,0,0.99,0.159
254,0.0,17.05,0,0,0.99,0.159
255,0.0,17.05,0,0,0.99,0.158
256,0.0,17.05,0,0,0.99,0.157
257,0.0,17.05,0,0,0.99,0.157
258,0.0,17.05,0,0,0.99,0.156
259,0.0,17.05,0,0,0.99,0.156
260,0.0,17.05,0,0,0.99,0.155
261,0.0,17.05,0,0,0.99,0.155
262,0.0,17.05,0,0,0.99,0.154
263,0.0,17.05,0,0,0.99,0.154
264,0.0,17.05,0,0,0.99,0.153
265,0.0,17.05,0,0,0.99,0.153
266,0.0,17.05,0,0,0.99,0.152
267,0.0,17.05,0,0,0.99,0.152
268,0.0,17.28,0,0,0.99,0.151
269,0.0,17.28,0,0,0.99,0.151
270,0.0,17.28,0,0,0.99,0.15
271,0.0,17.28,0,0,0.99,0.15
272,0.0,17.28,0,0,0.99,0.149
273,0.0,17.28,0,0,0.99,0.149
274,0.0,17.28,0,0,0.99,0.148
275,0.0,17.28,0,0,0.99,0.148
276,0.0,17.28,0,0,0.99,0.147
277,0.0,17.28,0,0,0.99,0.147
278,0.0,17.28,0,0,0.99,0.146
279,0.0,17.28,0,0,0.99,0.146
280,0.0,17.28,0,0,0.99,0.145
281,0.0,17.28,0,0,0.99,0.145
282,0.0,17.28,0,0,0.99,0.144
283,0.0,17.28,0,0,0.99,0.144
284,0.0,17.28,0,0,0.99,0.144
285,0.0,17.28,0,0,0.99,0.143
286,0.0,17.28,0,0,0.99,0.143
287,0.0,17.28,0,0,0.99,0.142
288,0.0,17.28,0,0,0.99,0.142
289,0.0,17.28,0,0,0.99,0.141
290,0.0,17.44,0,0,0.99,0.141
291,0.0,17.44,0,0,0.99,0.14
292,0.0,17.44,0,0,0.99,0.14
293,0.0,17.44,0,0,0.99,0.14
294,0.0,17.44,0,0,0.99,0.139
295,0.0,17.44,0,0,0.99,0.139
296,0.0,17.44,0,0,0.99,0.138
297,0.0,17.44,0,0,0.99,0.138
298,0.0,17.44,0,0,0.99,0.138
299,0.0,17.44,0,0,0.99,0.137
300,0.0,17.44,0,0,0.99,0.137
301,0.0,17.44,0,0,0.99,0.136
302,0.0,17.44,0,0,0.99,0.136
303,0.0,17.44,0,0,0.99,0.136
304,0.0,17.44,0,0,0.99,0.135
305,0.0,17.44,0,0,0.99,0.135
306,0.0,17.44,0,0,0.99,0.134
307,0.0,17.44,0,0,0.99,0.134
308,0.0,17.44,0,0,0.99,0.134
309,0.0,17.44,0,0,0.99,0.133
310,0.0,17.54,0,0,0.99,0.133
311,0.0,17.54,0,0,0.99,0.132
312,0.0,17.54,0,0,0.99,0.132
313,0.0,17.54,0,0,0.99,0.132
314,0.0,17.54,0,0,0.99,0.131
315,0.0,17.54,0,0,0.99,0.131
316,0.0,17.54,0,0,0.99,0.131
317,0.0,17.54,0,0,0.99,0.13
318,0.0,17.54,0,0,0.99,0.13
319,0.0,17.54,0,0,0.99,0.129
320,0.0,17.54,0,0,0.99,0.129
321,0.0,17.54,0,0,0.99,0.129
322,0.0,17.54,0,0,0.99,0.128
323,0.0,17.54,0,0,0.99,0.128
324,0.0,17.54,0,0,0.99,0.128
325,0.0,17.54,0,0,0.99,0.127
326,0.0,17.54,0,0,0.99,0.127
327,0.0,17.54,0,0,0.99,0.127
328,0.0,17.54,0,0,0.99,0.126
329,0.0,17.54,0,0,0.99,0.126
330,0.0,17.54,0,0,0.99,0.126
331,0.0,17.54,0,0,0.99,0.125
332,0.0,17.54,0,0,0.99,0.125
333,0.0,17.63,0,0,0.99,0.125
334,0.0,17.63,0,0,0.99,0.124
335,0.0,17.63,0,0,0.99,0.124
336,0.0,17.63,0,0,0.99,0.124
337,0.0,17.63,0,0,0.99,0.123
338,0.0,17.63,0,0,0.99,0.123
339,0.0,17.63,0,0,0.99,0.123
340,0.0,17.63,0,0,0.99,0.122
341,0.0,17.63,0,0,0.99,0.122
342,0.0,17.63,0,0,0.99,0.122
343,0.0,17.63,0,0,0.99,0.122
344,0.0,17.63,0,0,0.99,0.121
345,0.0,17.63,0,0,0.99,0.121
346,0.0,17.63,0,0,0.99,0.121
347,0.0,17.63,0,0,0.99,0.12
348,0.0,17.63,0,0,0.99,0.12
